EmployeeNumber,Age,Gender,HourlyRate,MonthlyIncome,Department,JobLevel,JobRole,MaritalStatus,PerformanceRating
58,41,Female,49,19545,Research & Development,5,Research Director,Married,3
60,34,Male,72,4568,Sales,2,Sales Executive,Single,4
61,37,Male,73,3022,Research & Development,1,Research Scientist,Married,4
62,46,Male,98,5772,Sales,2,Sales Executive,Single,4
63,35,Male,36,2269,Research & Development,1,Laboratory Technician,Married,3
64,48,Male,98,5381,Research & Development,3,Laboratory Technician,Single,3
65,28,Male,50,3441,Research & Development,1,Laboratory Technician,Single,3
68,44,Female,75,5454,Sales,2,Sales Executive,Divorced,4
70,35,Male,79,9884,Research & Development,3,Healthcare Representative,Married,3
72,26,Female,47,4157,Sales,2,Sales Executive,Married,3
73,33,Female,98,13458,Research & Development,3,Research Director,Single,3
74,35,Male,71,9069,Sales,3,Sales Executive,Married,4
75,35,Female,30,4014,Research & Development,1,Laboratory Technician,Married,3
76,31,Male,48,5915,Research & Development,2,Laboratory Technician,Divorced,4
77,37,Male,51,5993,Research & Development,2,Manufacturing Director,Divorced,3
78,32,Male,33,6162,Research & Development,2,Manufacturing Director,Married,4
79,38,Female,50,2406,Research & Development,2,Laboratory Technician,Single,3
80,50,Female,43,18740,Research & Development,5,Research Director,Divorced,3
81,59,Female,99,7637,Sales,3,Sales Executive,Single,3
83,36,Female,59,10096,Research & Development,3,Healthcare Representative,Divorced,3
84,55,Female,33,14756,Research & Development,4,Manager,Divorced,3
85,36,Male,95,6499,Research & Development,2,Manufacturing Director,Single,3
86,45,Male,59,9724,Research & Development,3,Research Scientist,Divorced,3
88,35,Male,79,2194,Research & Development,1,Research Scientist,Married,3
90,36,Male,79,3388,Research & Development,1,Research Scientist,Married,3
91,59,Female,57,5473,Sales,2,Sales Executive,Single,3
94,29,Male,76,2703,Research & Development,1,Research Scientist,Married,4
95,31,Male,87,2501,Research & Development,1,Research Scientist,Single,3
96,32,Male,66,6220,Research & Development,2,Research Scientist,Married,3
97,36,Female,55,3038,Research & Development,1,Laboratory Technician,Married,3
98,31,Female,61,4424,Research & Development,2,Manufacturing Director,Single,4
100,35,Male,32,4312,Sales,2,Sales Executive,Single,3
101,45,Male,52,13245,Research & Development,3,Research Director,Married,3
102,37,Male,30,13664,Research & Development,3,Research Director,Single,3
103,46,Male,80,5021,Human Resources,2,Human Resources,Divorced,4
104,30,Male,55,5126,Research & Development,2,Laboratory Technician,Married,3
105,35,Male,30,2859,Research & Development,1,Research Scientist,Single,3
106,55,Male,70,10239,Sales,3,Sales Executive,Married,3
107,38,Female,79,5329,Research & Development,2,Research Scientist,Divorced,3
110,34,Male,94,4325,Research & Development,2,Manufacturing Director,Married,3
112,56,Male,49,7260,Research & Development,3,Manufacturing Director,Single,3
113,23,Male,62,2322,Sales,1,Sales Representative,Divorced,3
116,51,Male,96,2075,Research & Development,1,Laboratory Technician,Married,4
117,30,Male,99,4152,Research & Development,2,Healthcare Representative,Married,3
118,46,Male,64,9619,Sales,3,Sales Executive,Single,3
119,40,Male,78,13503,Research & Development,4,Healthcare Representative,Married,4
120,51,Male,71,5441,Sales,2,Sales Executive,Single,4
121,30,Female,63,5209,Sales,2,Sales Executive,Divorced,3
124,46,Male,40,10673,Research & Development,3,Healthcare Representative,Married,3
125,32,Male,87,5010,Sales,2,Sales Executive,Single,3
126,54,Female,60,13549,Research & Development,3,Research Director,Married,3
128,24,Female,33,4999,Sales,2,Sales Executive,Married,4
129,28,Male,43,4221,Sales,2,Sales Executive,Married,3
131,58,Male,37,13872,Sales,4,Sales Executive,Single,3
132,44,Male,67,2042,Research & Development,2,Laboratory Technician,Married,3
133,37,Male,63,2073,Human Resources,1,Human Resources,Divorced,4
134,32,Male,71,2956,Research & Development,1,Research Scientist,Single,3
137,20,Female,66,2926,Research & Development,1,Laboratory Technician,Single,3
138,34,Female,41,4809,Research & Development,2,Research Scientist,Single,3
139,37,Male,100,5163,Research & Development,2,Healthcare Representative,Divorced,3
140,59,Female,32,18844,Human Resources,5,Manager,Married,4
141,50,Female,73,18172,Research & Development,5,Research Director,Married,3
142,25,Male,46,5744,Sales,2,Sales Executive,Single,3
143,25,Male,64,2889,Research & Development,1,Research Scientist,Married,3
144,22,Female,59,2871,Research & Development,1,Laboratory Technician,Single,3
145,51,Female,30,7484,Research & Development,3,Healthcare Representative,Single,4
147,34,Male,66,6074,Research & Development,2,Laboratory Technician,Single,4
148,54,Female,30,17328,Human Resources,4,Manager,Single,3
150,24,Male,52,2774,Research & Development,1,Laboratory Technician,Married,3
151,34,Female,45,4505,Research & Development,2,Research Scientist,Divorced,3
152,37,Male,87,7428,Sales,3,Sales Executive,Single,3
153,34,Female,45,11631,Research & Development,3,Manager,Single,3
154,36,Female,92,9738,Sales,3,Sales Executive,Married,3
155,36,Female,39,2835,Research & Development,1,Laboratory Technician,Divorced,4
158,43,Male,92,16959,Sales,4,Manager,Married,3
159,30,Male,96,2613,Research & Development,1,Research Scientist,Divorced,4
160,33,Male,95,6146,Sales,2,Sales Executive,Married,3
161,56,Female,72,4963,Research & Development,1,Research Scientist,Married,3
162,51,Male,51,19537,Research & Development,5,Research Director,Single,3
163,31,Male,76,6172,Sales,2,Sales Executive,Married,3
164,26,Female,46,2368,Research & Development,1,Research Scientist,Married,3
165,58,Female,94,10312,Research & Development,3,Healthcare Representative,Married,3
167,19,Male,50,1675,Sales,1,Sales Representative,Single,3
169,22,Male,100,2523,Research & Development,1,Laboratory Technician,Married,3
170,49,Female,96,6567,Research & Development,2,Manufacturing Director,Married,3
171,43,Female,72,4739,Research & Development,1,Research Scientist,Single,3
174,50,Female,77,9208,Sales,3,Sales Executive,Single,3
175,31,Female,71,4559,Sales,2,Sales Executive,Married,3
176,41,Male,96,8189,Sales,3,Sales Executive,Divorced,3
177,26,Female,61,2942,Human Resources,1,Human Resources,Married,4
178,36,Male,84,4941,Research & Development,2,Manufacturing Director,Divorced,4
179,51,Male,53,10650,Research & Development,3,Manufacturing Director,Single,3
182,39,Female,47,5902,Sales,2,Sales Executive,Married,3
183,25,Male,41,8639,Sales,2,Sales Executive,Married,3
184,30,Male,48,6347,Human Resources,2,Human Resources,Married,3
190,32,Female,41,4200,Research & Development,1,Laboratory Technician,Single,4
192,45,Male,83,3452,Research & Development,1,Research Scientist,Single,3
193,38,Female,32,4317,Research & Development,2,Research Scientist,Single,4
194,30,Female,75,2632,Research & Development,1,Research Scientist,Single,3
195,32,Male,35,4668,Sales,2,Sales Executive,Divorced,3
197,30,Female,84,3204,Research & Development,1,Research Scientist,Divorced,3
198,30,Male,35,2720,Research & Development,1,Laboratory Technician,Single,3
199,41,Male,91,17181,Research & Development,4,Manager,Divorced,3
200,41,Male,94,2238,Research & Development,1,Laboratory Technician,Married,4
201,19,Female,79,1483,Research & Development,1,Laboratory Technician,Single,3
202,40,Female,54,5605,Research & Development,2,Research Scientist,Divorced,3
204,35,Male,94,7295,Sales,3,Sales Executive,Married,3
205,53,Male,34,2306,Sales,2,Sales Representative,Married,4
206,45,Male,60,2348,Research & Development,2,Laboratory Technician,Divorced,3
207,32,Female,43,8998,Sales,3,Sales Executive,Single,3
208,29,Male,41,4319,Research & Development,2,Manufacturing Director,Married,3
211,51,Male,34,6132,Research & Development,2,Manufacturing Director,Married,3
214,58,Female,75,3346,Research & Development,1,Research Scientist,Married,4
215,40,Male,67,10855,Sales,3,Sales Executive,Married,3
216,34,Female,75,2231,Sales,1,Sales Representative,Married,3
217,22,Male,80,2323,Research & Development,1,Research Scientist,Married,4
218,27,Male,57,2024,Research & Development,1,Research Scientist,Divorced,3
221,28,Male,42,2713,Research & Development,1,Research Scientist,Married,3
223,57,Male,83,9439,Research & Development,3,Healthcare Representative,Divorced,3
224,27,Male,79,2566,Research & Development,1,Research Scientist,Divorced,3
226,50,Female,53,19926,Research & Development,5,Manager,Single,3
227,41,Male,56,2451,Research & Development,1,Research Scientist,Divorced,3
228,30,Female,41,9419,Sales,3,Sales Executive,Married,3
230,38,Female,59,8686,Sales,2,Sales Executive,Single,4
231,32,Male,43,3038,Research & Development,1,Research Scientist,Single,4
233,27,Male,51,3058,Research & Development,1,Research Scientist,Married,3
235,19,Female,100,2325,Sales,1,Sales Representative,Single,4
238,36,Male,30,2088,Research & Development,1,Laboratory Technician,Single,3
239,30,Male,66,3072,Research & Development,2,Laboratory Technician,Divorced,3
240,45,Female,30,5006,Sales,2,Sales Executive,Divorced,3
241,56,Female,67,4257,Research & Development,1,Research Scientist,Divorced,3
242,33,Male,90,2500,Research & Development,1,Research Scientist,Single,3
243,19,Male,47,1102,Research & Development,1,Laboratory Technician,Single,4
244,46,Female,92,10453,Sales,3,Sales Executive,Divorced,4
245,38,Female,75,2288,Research & Development,1,Laboratory Technician,Single,3
246,31,Female,95,3929,Research & Development,1,Research Scientist,Married,4
247,34,Female,95,2311,Research & Development,1,Research Scientist,Single,3
248,41,Female,70,3140,Sales,1,Sales Representative,Single,4
249,50,Male,86,3690,Research & Development,1,Laboratory Technician,Married,3
250,53,Female,57,4450,Research & Development,2,Manufacturing Director,Divorced,3
252,33,Female,72,2756,Research & Development,1,Research Scientist,Married,3
253,40,Female,46,19033,Research & Development,5,Manager,Married,3
254,55,Male,61,18722,Research & Development,5,Research Director,Single,3
256,34,Male,45,9547,Research & Development,2,Manufacturing Director,Married,3
258,51,Female,98,13734,Research & Development,4,Healthcare Representative,Single,3
259,52,Male,65,19999,Research & Development,5,Manager,Married,3
260,27,Female,99,2279,Research & Development,1,Research Scientist,Single,3
261,35,Male,50,5916,Research & Development,2,Manufacturing Director,Married,3
262,43,Male,37,2089,Research & Development,1,Research Scientist,Divorced,3
264,45,Male,65,16792,Research & Development,4,Manager,Married,4
267,37,Male,65,3564,Research & Development,1,Research Scientist,Married,3
269,35,Female,37,4425,Research & Development,2,Laboratory Technician,Single,3
270,42,Female,36,5265,Research & Development,2,Manufacturing Director,Divorced,3
271,38,Male,88,6553,Research & Development,2,Manufacturing Director,Married,3
273,38,Male,54,6261,Research & Development,2,Manufacturing Director,Married,3
274,27,Male,60,4298,Research & Development,2,Manufacturing Director,Married,3
275,49,Male,92,6804,Research & Development,2,Manufacturing Director,Divorced,3
277,34,Male,43,3815,Research & Development,1,Research Scientist,Divorced,3
281,40,Male,99,2741,Research & Development,2,Laboratory Technician,Married,3
282,38,Male,70,6673,Research & Development,2,Healthcare Representative,Married,3
283,29,Female,35,7639,Sales,3,Sales Executive,Married,4
284,22,Male,60,2328,Research & Development,1,Research Scientist,Divorced,3
286,36,Female,73,2153,Research & Development,1,Laboratory Technician,Single,3
287,40,Male,63,4876,Research & Development,2,Healthcare Representative,Married,3
288,46,Male,97,9396,Research & Development,3,Healthcare Representative,Divorced,3
291,32,Male,32,10400,Sales,3,Sales Executive,Married,3
292,30,Male,88,8474,Research & Development,3,Manufacturing Director,Single,4
293,27,Female,90,9981,Sales,2,Sales Executive,Single,3
296,51,Male,81,12490,Research & Development,3,Research Director,Married,3
297,30,Female,88,2657,Research & Development,1,Research Scientist,Single,3
298,41,Female,75,13591,Sales,3,Manager,Single,3
299,30,Female,52,6696,Sales,2,Sales Executive,Single,3
300,29,Male,85,2058,Research & Development,1,Research Scientist,Single,3
302,45,Female,57,8865,Sales,3,Sales Executive,Single,3
303,54,Female,52,5940,Sales,2,Sales Executive,Married,3
304,36,Male,62,5914,Research & Development,2,Laboratory Technician,Single,3
305,33,Female,47,2622,Research & Development,1,Research Scientist,Married,4
306,37,Male,47,12185,Research & Development,3,Research Director,Divorced,3
307,38,Male,76,10609,Sales,3,Sales Executive,Divorced,3
308,31,Male,90,4345,Research & Development,2,Manufacturing Director,Married,3
309,59,Male,70,2177,Research & Development,1,Research Scientist,Married,3
311,37,Male,41,2793,Sales,1,Sales Representative,Divorced,3
312,29,Female,42,7918,Sales,3,Sales Executive,Married,3
314,35,Female,92,8789,Sales,3,Sales Executive,Single,3
315,29,Male,86,2389,Research & Development,1,Research Scientist,Single,3
316,52,Female,89,3212,Research & Development,1,Laboratory Technician,Single,3
319,42,Male,58,19232,Research & Development,5,Manager,Married,3
321,59,Male,52,2267,Human Resources,1,Human Resources,Married,3
323,50,Female,68,19517,Sales,5,Manager,Divorced,3
325,33,Male,58,2436,Research & Development,1,Laboratory Technician,Married,3
327,43,Female,80,16064,Sales,4,Manager,Married,4
328,33,Female,39,2707,Research & Development,1,Laboratory Technician,Married,4
329,52,Male,79,19068,Sales,5,Manager,Single,3
330,32,Female,56,3931,Sales,1,Sales Representative,Married,3
331,32,Male,62,3730,Research & Development,1,Laboratory Technician,Single,3
332,39,Female,96,2232,Research & Development,1,Laboratory Technician,Divorced,3
333,32,Male,100,4465,Sales,2,Sales Executive,Married,3
334,41,Male,36,3072,Research & Development,2,Research Scientist,Divorced,3
335,40,Male,62,3319,Research & Development,2,Research Scientist,Divorced,3
336,45,Male,70,19202,Research & Development,5,Manager,Married,3
337,31,Male,73,13675,Research & Development,3,Research Director,Divorced,3
338,33,Female,63,2911,Research & Development,1,Research Scientist,Married,3
339,34,Male,84,5957,Research & Development,2,Manufacturing Director,Married,3
340,37,Female,83,3920,Research & Development,1,Research Scientist,Married,3
341,45,Male,77,6434,Research & Development,2,Manufacturing Director,Married,3
342,37,Male,61,10048,Research & Development,3,Manufacturing Director,Divorced,3
343,39,Female,64,10938,Research & Development,3,Healthcare Representative,Single,4
346,29,Male,60,2340,Research & Development,1,Research Scientist,Single,3
347,42,Female,82,6545,Research & Development,2,Research Scientist,Single,3
349,29,Male,45,6931,Sales,2,Sales Executive,Divorced,3
350,25,Female,62,4898,Research & Development,2,Manufacturing Director,Married,3
351,42,Female,56,2593,Research & Development,1,Laboratory Technician,Divorced,3
352,40,Male,49,19436,Research & Development,5,Research Director,Divorced,3
353,51,Male,96,2723,Research & Development,1,Research Scientist,Married,3
355,31,Male,71,3479,Research & Development,1,Laboratory Technician,Single,3
359,32,Male,100,2794,Research & Development,1,Laboratory Technician,Married,4
361,38,Male,39,5249,Sales,2,Sales Executive,Married,3
362,32,Male,84,2176,Research & Development,2,Laboratory Technician,Single,3
363,46,Female,75,16872,Sales,4,Manager,Married,3
364,28,Male,79,3485,Research & Development,1,Laboratory Technician,Single,3
366,29,Male,78,6644,Sales,2,Sales Executive,Married,3
367,31,Male,64,5582,Research & Development,2,Healthcare Representative,Married,4
369,25,Male,85,4000,Research & Development,2,Healthcare Representative,Divorced,3
372,45,Male,79,13496,Research & Development,4,Healthcare Representative,Married,3
373,36,Male,47,3210,Research & Development,1,Laboratory Technician,Married,3
374,55,Male,81,19045,Research & Development,5,Manager,Single,3
376,47,Male,88,11849,Research & Development,3,Manager,Married,3
377,28,Male,94,2070,Research & Development,1,Research Scientist,Married,4
378,37,Male,98,6502,Sales,2,Sales Executive,Married,3
379,21,Male,100,3230,Research & Development,1,Research Scientist,Single,3
380,37,Female,80,13603,Research & Development,3,Research Director,Divorced,3
381,35,Female,71,11996,Research & Development,3,Manager,Divorced,3
382,38,Female,44,5605,Sales,2,Sales Executive,Divorced,4
384,26,Female,84,6397,Research & Development,2,Manufacturing Director,Divorced,4
385,50,Male,96,19144,Research & Development,5,Research Director,Divorced,3
386,53,Male,45,17584,Research & Development,4,Research Director,Married,3
387,42,Male,99,4907,Sales,2,Sales Executive,Married,4
388,29,Male,44,4554,Sales,2,Sales Executive,Single,3
389,55,Male,37,5415,Research & Development,2,Laboratory Technician,Married,3
390,26,Male,60,4741,Research & Development,2,Healthcare Representative,Married,3
391,37,Female,42,2115,Research & Development,1,Research Scientist,Single,3
392,44,Male,43,3161,Research & Development,1,Laboratory Technician,Divorced,4
393,38,Male,82,5745,Research & Development,2,Healthcare Representative,Divorced,3
394,26,Male,45,2373,Research & Development,1,Laboratory Technician,Divorced,3
395,28,Female,66,3310,Research & Development,1,Research Scientist,Single,4
396,49,Female,35,18665,Research & Development,5,Research Director,Single,3
397,36,Male,30,4485,Research & Development,2,Research Scientist,Single,3
399,31,Female,84,2789,Sales,1,Sales Representative,Divorced,3
401,26,Male,48,5828,Sales,2,Sales Executive,Single,3
403,37,Male,53,2326,Research & Development,1,Research Scientist,Married,3
404,42,Female,77,13525,Sales,4,Sales Executive,Married,3
405,18,Male,54,1420,Research & Development,1,Laboratory Technician,Single,3
406,35,Male,96,8020,Sales,3,Sales Executive,Married,3
407,36,Male,81,3688,Research & Development,1,Laboratory Technician,Married,3
408,51,Male,84,5482,Research & Development,2,Manufacturing Director,Divorced,3
410,41,Male,88,16015,Sales,4,Manager,Single,3
411,18,Female,69,1200,Sales,1,Sales Representative,Single,3
412,28,Male,68,5661,Research & Development,2,Healthcare Representative,Single,3
416,31,Male,100,6929,Sales,2,Sales Executive,Married,3
417,39,Male,48,9613,Research & Development,3,Healthcare Representative,Divorced,3
419,36,Female,47,5674,Research & Development,2,Laboratory Technician,Married,3
420,32,Male,91,5484,Sales,2,Sales Executive,Married,3
421,38,Female,81,12061,Research & Development,3,Research Director,Married,3
422,58,Male,32,5660,Research & Development,2,Healthcare Representative,Divorced,3
423,31,Male,86,4821,Research & Development,1,Research Scientist,Married,3
424,31,Male,62,6410,Human Resources,2,Human Resources,Married,3
425,45,Male,97,5210,Research & Development,3,Laboratory Technician,Divorced,3
426,31,Male,32,2695,Research & Development,1,Research Scientist,Divorced,3
428,33,Female,74,11878,Research & Development,3,Manager,Married,3
429,39,Male,99,17068,Research & Development,4,Manager,Married,3
430,43,Female,33,2455,Research & Development,1,Laboratory Technician,Single,3
431,49,Female,90,13964,Research & Development,4,Healthcare Representative,Single,3
433,52,Male,85,4941,Research & Development,2,Research Scientist,Married,3
434,27,Female,85,2478,Research & Development,1,Research Scientist,Single,3
436,32,Female,65,5228,Sales,2,Sales Executive,Married,3
437,27,Male,74,4478,Sales,2,Sales Executive,Single,3
438,31,Male,73,7547,Sales,2,Sales Executive,Divorced,3
439,32,Female,74,5055,Research & Development,2,Research Scientist,Single,3
440,28,Male,84,3464,Research & Development,1,Research Scientist,Married,3
441,30,Female,64,5775,Research & Development,2,Research Scientist,Married,3
442,31,Female,48,8943,Research & Development,3,Manufacturing Director,Married,4
444,39,Male,54,19272,Research & Development,5,Manager,Married,3
445,39,Female,41,5238,Sales,2,Sales Executive,Married,3
446,33,Male,46,4682,Sales,2,Sales Executive,Single,3
447,47,Male,42,18300,Research & Development,5,Research Director,Married,3
448,43,Female,82,5257,Research & Development,2,Laboratory Technician,Divorced,3
449,27,Male,73,6349,Sales,2,Sales Executive,Married,3
450,54,Female,31,4869,Research & Development,2,Research Scientist,Single,3
451,43,Female,43,9985,Research & Development,3,Healthcare Representative,Married,3
452,45,Male,75,3697,Research & Development,2,Research Scientist,Married,3
453,40,Male,57,7457,Sales,2,Sales Executive,Married,4
454,29,Male,77,2119,Research & Development,1,Laboratory Technician,Married,3
455,29,Male,30,3983,Research & Development,1,Laboratory Technician,Single,3
456,30,Female,30,6118,Sales,2,Sales Executive,Divorced,3
458,27,Female,56,6214,Sales,2,Sales Executive,Married,3
460,37,Male,61,6347,Research & Development,2,Manufacturing Director,Divorced,3
461,38,Male,92,11510,Research & Development,3,Research Director,Divorced,3
462,31,Female,39,7143,Research & Development,3,Manufacturing Director,Single,3
463,29,Female,39,8268,Sales,2,Sales Executive,Divorced,3
464,35,Male,62,8095,Research & Development,3,Manufacturing Director,Single,3
465,23,Male,83,2904,Research & Development,1,Research Scientist,Divorced,3
466,41,Male,95,6032,Research & Development,2,Manufacturing Director,Single,3
467,47,Male,99,2976,Sales,2,Sales Representative,Single,3
468,42,Female,44,15992,Research & Development,4,Research Director,Single,3
469,29,Male,61,4649,Sales,2,Sales Executive,Married,3
470,42,Male,52,2696,Human Resources,1,Human Resources,Divorced,3
471,32,Female,75,2370,Research & Development,1,Laboratory Technician,Married,3
473,48,Female,91,12504,Sales,3,Manager,Married,4
474,37,Male,51,5974,Research & Development,2,Research Scientist,Divorced,3
475,30,Female,85,4736,Sales,2,Sales Executive,Married,3
476,26,Male,57,5296,Sales,2,Sales Executive,Married,3
477,42,Male,98,6781,Research & Development,2,Healthcare Representative,Single,4
478,21,Female,99,2174,Sales,1,Sales Representative,Single,3
479,36,Female,45,6653,Sales,2,Sales Executive,Single,3
481,36,Male,48,9699,Sales,3,Sales Executive,Married,3
482,57,Male,88,6755,Research & Development,2,Healthcare Representative,Married,3
483,40,Female,46,2213,Research & Development,1,Laboratory Technician,Married,3
484,21,Male,39,2610,Sales,1,Sales Representative,Single,4
485,33,Female,34,2851,Sales,1,Sales Representative,Single,3
486,37,Female,98,3452,Research & Development,1,Laboratory Technician,Married,4
487,46,Female,30,5258,Research & Development,2,Manufacturing Director,Married,3
488,41,Male,56,9355,Sales,2,Sales Executive,Single,3
491,50,Male,100,10496,Research & Development,3,Healthcare Representative,Single,3
492,40,Male,68,6380,Sales,2,Sales Executive,Married,3
493,31,Male,42,2657,Research & Development,1,Research Scientist,Single,3
494,21,Female,90,2716,Sales,1,Sales Representative,Single,3
495,29,Male,54,2201,Research & Development,1,Research Scientist,Single,3
496,35,Male,97,6540,Research & Development,2,Healthcare Representative,Single,3
497,27,Male,82,3816,Research & Development,1,Laboratory Technician,Divorced,3
498,28,Male,92,5253,Sales,2,Sales Executive,Single,3
499,49,Male,31,10965,Research & Development,3,Healthcare Representative,Single,4
500,51,Female,87,4936,Sales,2,Sales Executive,Married,3
501,36,Female,96,2543,Research & Development,1,Research Scientist,Married,3
502,34,Male,67,5304,Sales,2,Sales Executive,Single,3
505,55,Female,97,16659,Research & Development,4,Manager,Single,3
507,24,Female,77,4260,Sales,2,Sales Executive,Divorced,3
508,30,Male,72,2476,Sales,1,Sales Representative,Married,3
510,26,Male,73,3102,Research & Development,1,Research Scientist,Single,4
511,22,Female,43,2244,Research & Development,1,Research Scientist,Married,3
513,36,Male,61,7596,Sales,3,Sales Executive,Married,3
514,30,Male,40,2285,Research & Development,1,Research Scientist,Single,4
515,37,Female,95,3034,Research & Development,1,Laboratory Technician,Divorced,3
516,40,Female,46,5715,Sales,2,Sales Executive,Divorced,3
517,42,Female,95,2576,Research & Development,1,Laboratory Technician,Divorced,3
518,37,Male,49,4197,Research & Development,2,Manufacturing Director,Single,3
520,43,Male,59,14336,Research & Development,4,Research Director,Divorced,3
521,40,Female,78,3448,Research & Development,2,Laboratory Technician,Married,4
522,54,Male,86,19406,Research & Development,5,Research Director,Married,3
523,34,Female,72,6538,Sales,2,Sales Executive,Married,3
524,31,Female,31,4306,Research & Development,2,Manufacturing Director,Married,3
525,43,Male,61,2258,Research & Development,1,Laboratory Technician,Married,4
526,43,Female,74,4522,Research & Development,2,Healthcare Representative,Divorced,3
527,25,Female,99,4487,Sales,2,Sales Executive,Single,3
529,37,Female,72,4449,Research & Development,2,Research Scientist,Married,3
530,31,Male,98,2218,Research & Development,1,Laboratory Technician,Married,3
531,39,Male,52,19197,Research & Development,5,Manager,Divorced,3
532,56,Female,86,13212,Sales,4,Sales Executive,Married,3
533,30,Female,83,6577,Sales,2,Sales Executive,Single,3
534,41,Male,49,8392,Sales,3,Sales Executive,Married,3
536,28,Male,79,4558,Research & Development,2,Laboratory Technician,Divorced,3
538,25,Male,91,4031,Research & Development,1,Laboratory Technician,Married,3
543,52,Male,39,7969,Research & Development,3,Manufacturing Director,Married,3
544,45,Male,69,2654,Research & Development,1,Research Scientist,Married,4
546,52,Female,30,16555,Research & Development,4,Manager,Married,3
547,42,Female,92,4556,Research & Development,2,Research Scientist,Divorced,3
548,30,Female,43,6091,Research & Development,2,Manufacturing Director,Single,4
549,60,Female,41,19566,Research & Development,5,Manager,Married,3
550,46,Female,87,4810,Research & Development,2,Manufacturing Director,Divorced,3
551,42,Female,88,4523,Research & Development,2,Healthcare Representative,Married,3
554,24,Female,62,3202,Sales,1,Sales Representative,Single,3
555,34,Female,33,2351,Sales,1,Sales Representative,Divorced,3
556,38,Male,42,1702,Research & Development,1,Laboratory Technician,Married,4
558,40,Female,79,18041,Sales,5,Manager,Married,3
560,26,Female,90,2886,Research & Development,1,Research Scientist,Divorced,4
562,30,Male,53,2097,Research & Development,1,Laboratory Technician,Married,3
564,29,Male,93,11935,Research & Development,3,Research Director,Married,3
565,29,Female,71,2546,Research & Development,1,Research Scientist,Married,3
566,19,Male,52,2564,Human Resources,1,Human Resources,Single,3
567,30,Female,69,8412,Sales,3,Sales Executive,Married,3
568,57,Male,56,14118,Sales,4,Manager,Divorced,3
569,50,Male,88,17046,Research & Development,4,Manager,Married,3
571,30,Female,49,2564,Research & Development,1,Laboratory Technician,Single,3
573,60,Female,80,10266,Sales,3,Sales Executive,Married,3
574,47,Female,65,5070,Research & Development,2,Manufacturing Director,Divorced,3
575,46,Male,51,17861,Research & Development,4,Research Director,Married,3
